id	Electricity	Gobar Gas	Kerosene	LP Gas	Others	Wood
Dhading	0.0846560846560847	0.20506415351425	0.0571428571428571	0.109455368788915	0.0676855895196507	0.115184690196843
Dolakha	0.142857142857143	0.00510957193141819	0.119047619047619	0.0882410848325253	0.135371179039301	0.0962577357449707
Gorkha	0.0899470899470899	0.174520267968661	0.0761904761904762	0.0919695813747447	0.106986899563319	0.101781907233541
Kavrepalanchok	0.0793650793650794	0.19950039741115	0.152380952380952	0.194041788693919	0.0414847161572052	0.11323103837661
Makwanpur	0.0899470899470899	0.22754627001249	0.114285714285714	0.248972510028794	0.161572052401747	0.100597829648266
Nuwakot	0.111111111111111	0.0453048711252413	0.0952380952380952	0.0782984273866069	0.0567685589519651	0.104540183204385
Okhaldhunga	0.00529100529100529	0.00408765754513455	0.0428571428571429	0.0106194472473113	0.0480349344978166	0.0536126557625871
Ramechhap	0.137566137566138	0.0054502100601794	0.0904761904761905	0.0304432357935668	0.117903930131004	0.0802063982859067
Rasuwa	0.0264550264550265	0.00567730214602021	0.0238095238095238	0.00977038367829104	0.00655021834061135	0.0175600077414596
Sindhuli	0.0634920634920635	0.119904621323947	0.0666666666666667	0.0473998966357394	0.0807860262008734	0.0913385562787352
Sindhupalchok	0.169312169312169	0.00783467696150789	0.161904761904762	0.090788275539586	0.176855895196507	0.125688997526695
