Control_IncomeGroup	Factor	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
0-10000	Ethnicity	9	1247.31458618788	138.590509576431	31.7989880294866	0.422863813422883	0.001
0-10000	EducationLevel	4	1154.44411626343	288.611029065858	66.2205419872686	0.391378924605338	0.001
0-10000	GeoRegion	1	177.467086926641	177.467086926641	40.7190491618467	0.0601647811753767	0.001
0-10000	Residuals	85	370.458119707241	4.35833082008519	NA	0.125592480796403	NA
0-10000	Total	99	2949.6839090852	NA	NA	1	NA
10000-20000	Ethnicity	9	1353.12914436591	150.347682707323	29.6644724056167	0.544818516071531	0.001
10000-20000	EducationLevel	4	529.230374303095	132.307593575774	26.1050578765649	0.21308720486019	0.001
10000-20000	GeoRegion	1	170.469981326091	170.469981326091	33.6347189791938	0.0686373526485121	0.001
10000-20000	Residuals	85	430.803314327707	5.06827428620832	NA	0.173456926419766	NA
10000-20000	Total	99	2483.6328143228	NA	NA	1	NA
20000-30000	Ethnicity	9	1297.78696381417	144.198551534908	35.0140614855697	0.624673059667623	0.001
20000-30000	EducationLevel	4	283.329254349291	70.8323135873227	17.1993890140518	0.136376891695347	0.001
20000-30000	GeoRegion	1	146.373852615531	146.373852615531	35.5422646122711	0.0704551709318711	0.001
20000-30000	Residuals	85	350.055845007258	4.11830405890891	NA	0.168494877705159	NA
20000-30000	Total	99	2077.54591578625	NA	NA	1	NA
30000-50000	Ethnicity	9	1232.82521029672	136.980578921857	44.3536885912783	0.701616888340447	0.001
30000-50000	EducationLevel	4	168.863214405825	42.2158036014563	13.6692852469087	0.0961022552564981	0.001
30000-50000	GeoRegion	1	92.9203725227737	92.9203725227737	30.0871941051714	0.0528821945628227	0.001
30000-50000	Residuals	85	262.511407239474	3.08836949693499	NA	0.149398661840232	NA
30000-50000	Total	99	1757.12020446479	NA	NA	1	NA
50000-ABOVE	Ethnicity	9	871.591393069374	96.8434881188193	34.6299493656456	0.679796695490543	0.001
50000-ABOVE	EducationLevel	4	141.119606887705	35.2799017219263	12.6156258307867	0.110066073614326	0.001
50000-ABOVE	GeoRegion	1	42.9059255268983	42.9059255268983	15.342590992382	0.0334644268198128	0.001
50000-ABOVE	Residuals	81	226.518452418133	2.79652410392757	NA	0.176672804075318	NA
50000-ABOVE	Total	95	1282.13537790211	NA	NA	1	NA
